D,W,A
0.411058,0.0259408,0.201677
0.411058,0.0259437,0.201689
0.411058,0.0259467,0.201702
0.411058,0.0259665,0.201723
0.411058,0.0260242,0.201765
0.411058,0.0260246,0.201806
0.411058,0.026032,0.20184
0.411058,0.0260342,0.201858
0.411146,0.0260419,0.202005
0.411146,0.0260509,0.20205
0.411146,0.0260525,0.202099
0.411146,0.0260664,0.20226
0.411146,0.0260687,0.202379
0.411472,0.0260775,0.202511
0.411472,0.0261132,0.202589
0.411483,0.026117,0.202774
0.411669,0.0261184,0.202883
0.411669,0.0261349,0.203013
0.411669,0.0261598,0.203119
0.411669,0.0261701,0.203214
0.411728,0.0261759,0.203254
0.411728,0.0261867,0.203275
0.411728,0.0262006,0.203333
0.411736,0.0262098,0.20334
0.411736,0.0262099,0.203415
0.411736,0.0262432,0.203529
0.412108,0.0262441,0.203626
0.412108,0.0262508,0.203656
0.412445,0.026254,0.203784
0.412445,0.02626,0.203824
0.413126,0.0262652,0.203891
0.413126,0.0262703,0.203895
0.413435,0.0262763,0.203931
0.413435,0.0262954,0.203966
0.413435,0.0263103,0.204342
0.413435,0.026318,0.20436
0.413474,0.0263779,0.204457
0.413474,0.0263847,0.204673
0.413572,0.0263935,0.204724
0.413572,0.0264071,0.204784
0.413572,0.0264246,0.204806
0.413572,0.0264358,0.204829
0.413716,0.0264511,0.205048
0.413716,0.0264587,0.205158
0.413716,0.0264632,0.205199
0.413716,0.0264662,0.205289
0.413716,0.0265098,0.205434
0.413716,0.026517,0.205563
0.413716,0.0266164,0.205565
0.414057,0.0266596,0.205645
0.414057,0.0266666,0.205702
0.414144,0.0266779,0.205711
0.414264,0.0266982,0.20588
0.414264,0.0267107,0.205943
0.414401,0.0267141,0.205962
0.414478,0.026716,0.206132
0.414478,0.0267239,0.206239
0.415082,0.0267251,0.206376
0.415082,0.0267274,0.206497
0.415082,0.0267587,0.206569
0.415082,0.0267722,0.206749
0.415082,0.0267759,0.206774
0.415082,0.0267799,0.206857
0.415082,0.0267936,0.206888
0.415082,0.0268062,0.206938
0.415244,0.026807,0.206942
0.415244,0.0268241,0.20709
0.415244,0.026828,0.2071
0.415244,0.0268434,0.207123
0.415272,0.0268561,0.207167
0.415532,0.0268764,0.20718
0.415532,0.0268843,0.207202
0.415532,0.0268874,0.20732
0.415532,0.0269048,0.207389
0.415532,0.0269298,0.207672
0.415532,0.0269298,0.207673
0.415591,0.0269424,0.207715
0.415591,0.0269836,0.207757
0.415591,0.0269969,0.207762
0.415612,0.0270015,0.207768
0.415756,0.0270124,0.207791
0.416209,0.0270182,0.207857
0.416209,0.0270439,0.207987
0.416209,0.027052,0.208055
0.416258,0.027073,0.208116
0.416494,0.0270853,0.208321
0.416494,0.0270903,0.208396
0.416908,0.0270909,0.208524
0.416908,0.027104,0.208561
0.416908,0.0271074,0.20864
0.417431,0.0271191,0.208685
0.417431,0.0271258,0.208716
0.417431,0.0271258,0.208817
0.417431,0.027133,0.208832
0.417431,0.0271364,0.2089
0.417761,0.0271545,0.208936
0.417761,0.0271613,0.209032
0.418439,0.0271678,0.20913
0.418439,0.0271705,0.209229
0.418439,0.0271728,0.209243
0.418439,0.0271797,0.209396
0.418439,0.0271892,0.209689
0.418439,0.0271952,0.210249
0.418439,0.0272007,0.210274
0.41886,0.0272009,0.210336
0.41886,0.0272038,0.210399
0.41886,0.0272043,0.210422
